From,Amount,
0xC558dfc550f046333765211E7f86da27D3B493F8,202000,
0x6b64C16a77eB2C1361eEAa45eE6944e8c78cD171,1271000,
0x579689E7e25E49d85B60aD3b6eE6fBfb4bAC0229,73600,
0xA85a2c1786Ed23b30C9522ba3f1F3ea873fDdfC8,73600,
0xd47841CfDa4e3a2b38180641cE1D6639df902B0b,220800,
0x414B6f2fca60A1A648b9553C332b962BaD18F632,92600,
0xE54a3562c303ceAb921a0AC7811e0350b34AE93a,3389000,
0x1886a0EAA676D57032a7FeAf236155c38EeC3f82,883800,
0x5F6a156Faab60D7602994f8fd25F4e33EB4CC010,92600,
0x8bFEEF5B75240bEEE3c5549c832aD056fC2bffd4,791200,
0xc51772f08c1b5B575b5fdc94c732666AC9719a71,73600,
0xd7c0dD7AA1f7153149b961538ec5a44FCE4C419E,774000,
0xef8667502e737c5ab1a896f12d4c474F6c9ccada,92600,
0x4Bf0b46784D34F84Aff327C37cF3682C52899fbe,572400,
0x7B2CF8c161Df6A34E477A0A868BCbB8093f90ea4,92600,
0xA79702140726DD52fe49298D463e6BF87a97554a,73600,
0x8A452d3291f2452c25B07fD035e1656A6CFeAAd5,166200,
0x431c16C81Be88CAEf4f2B09a98709eA39568363D,73600,
0x2F23A8296aC49b949cacCFa65Ff4AAA3eD2b6A9a,73600,
0x78a99954A7becdB4bB301f6992258A1aae3B1B74,73600,
0xf52B85ECfB4cacb2D37d572ea333ce415aE4dbFA,976400,
0xd25Fad5be67981a62E8A51Be629BeC67A1da9d67,92600,
0xeEE8d3392c528E65b1D3d5f23B3891C81f671303,92600,
0xEc63C9982952bBA1570C273f8e4E4E3d233F26c7,73600,
0x7d5c27Baa59F7DBF2b849D190FEa824705086093,73600,
0xc73775067bECBd8c998a0523fc1dCa60292Aef9c,202000,
0xA28C43E0A1C807b8cD955Bd5379250bD755bf053,73600,
0x309ee36684aAE4FAEeaaE0878AFdC2b6197224C0,73600,
0xacfdb88C27136cf275e02B826B5F03C47DCE7631,92600,
0x9e29C83B0CCf63B523A879Db358D88295Bdf2dAF,185200,
0xBd5bbd91A1773B98077d65fB252D07AFa9C14746,73600,
0xc8078394cae7feae5Febe94CfbED2E3E1368983f,73600,
0x0b54D50B5E2aF9910b4D5DAa92932E18c5bF63A4,92600,
0x77922Ace74A9d660A5F9F2B4737A4746A78ccd48,73600,
0x653C0fF3da86a7ef395354313328D25Cac26d2BF,73600,
0x6483e95De19b0576574d7290E4F01Ffb8BA77195,92600,
0x5F232A1F1628090062834103958FC397d4651008,73600,
0xA4aACF91125094A2274870a50d85dc394487cC39,92600,
0xB49749b38081Fa66c4C2b14486b666D302847eAf,477600,
0x0037Ff43d0B2219896D333d390Fde22e0c53e82F,73600,
0x105286463682bF73D0E753f471dBC5E85d098181,73600,
0x878D074d253Add2C8E213F12E9D7942d30296035,681800,
0xb38D69Eb20Dcd0873eae53a8f7Bf0F9E046d87Ee,572400,
0x6C4362B3784eC47c72E749D67a22ff9263b48765,202000,
0x895F418816A948bb3e6DdB353Fa046FD4E35c55C,572400,
0x45235aDfa975EaFdb1B6Fe8cc74E93F2EbBfD712,73600,
0xf5b8a611e0E1998fb36C6659364b6a08c0303A63,774400,
0x8F9d386eAc8d57177C00B38e72777f2C807222f1,73600,
0xe4286256CFc49394343BC99Ea49B999df2733b3f,73600,
0xc1DBaF95f1308ADEd09191194070D740C97486d3,73600,
0x42AFBDDF1918b01191E70Ad6B5f2fD629CeC756B,73600,
0xb1d1098D8d120b92819f7d6AbE093CEFc3167244,202000,
0x09F70CEb4010c1bAB6946E3DD9aDAE94A11C8C64,1750600,
0xD75622A3707A363CB62F65C7328Fd15dF50dd2FC,463000,
0x371D92C8BFA7917C7BebFB55270A8eAf0fDf35D1,791200,
0x9F9e0B69E21BB8720419F5f29C429E209f08abcf,275600,
0xd3Ce40c4d200886D2664179615616814FAc8413c,73600,
0x7B64017B6fA1229e801e3f19FB5d5DEcA0a30cA4,681800,
0xD3226F2073c963921f0A64Ddc4f9f6C0cc1c1C3F,73600,
0x49E53Fb3d5bf1532fEBAD88a1979E33A94844d1d,73600,
0x0F055Fa3984e3497768049945D4364bE82D27da6,73600,
0x686A18986091AE4B2BbbAC6Ca66DDdb0E944FFC3,73600,
0xE32A836157529739E514D242F60fC3F516096482,883800,
0x6673713969e00241D2CE1FC7D1B56D9D183a61B0,774400,
0xB9246aa97886D132BadE3f504534122e0E1aFe47,349200,
0x06D1068A783530a938b059D652E56836FBf5B85c,73600,
0xF43caf86e1F56362D67683C79E115238d46339A5,73600,
0x66CEF4Ce5E0a1E59A827499aaC7aBe187022aA55,73600,
0x8f90d2058c24Fc384C16Ba4dF0652CA0443FBDc0,73600,
0xF6DABD4AAfE84e7799939209e668487f068dfCC3,73600,
0xed87631022d31dC2f1827FbF03057f153DBB91dC,166200,
0x079a9aF5a1D56Da42F8e3DC578b810876A1E0c6a,73600,
0x89E92CDFCEb0FC1E046a3F57243F1C5CE151C2FD,92600,
0x44C73f463BbC1F55DF42195eA74F0bb0EB722704,92600,
